,ClassId,Path
0,861,./seeds50/ILSVRC2012_test_00089962.JPEG
1,544,./seeds50/ILSVRC2012_test_00089965.JPEG
2,674,./seeds50/ILSVRC2012_test_00001442.JPEG
3,868,./seeds50/ILSVRC2012_test_00099992.JPEG
4,794,./seeds50/ILSVRC2012_test_00000007.JPEG
5,488,./seeds50/ILSVRC2012_test_00089964.JPEG
6,265,./seeds50/ILSVRC2012_test_00000329.JPEG
7,600,./seeds50/ILSVRC2012_test_00001248.JPEG
8,436,./seeds50/ILSVRC2012_test_00001909.JPEG
9,315,./seeds50/ILSVRC2012_test_00011029.JPEG
10,47,./seeds50/ILSVRC2012_test_00001582.JPEG
11,199,./seeds50/ILSVRC2012_test_00000011.JPEG
12,976,./seeds50/ILSVRC2012_test_00089960.JPEG
13,31,./seeds50/ILSVRC2012_test_00001890.JPEG
14,539,./seeds50/ILSVRC2012_test_00011020.JPEG
15,358,./seeds50/ILSVRC2012_test_00001990.JPEG
16,450,./seeds50/ILSVRC2012_test_00001896.JPEG
17,354,./seeds50/ILSVRC2012_test_00000055.JPEG
18,15,./seeds50/ILSVRC2012_test_00000517.JPEG
19,484,./seeds50/ILSVRC2012_test_00001091.JPEG
20,185,./seeds50/ILSVRC2012_test_00000004.JPEG
21,438,./seeds50/ILSVRC2012_test_00099993.JPEG
22,58,./seeds50/ILSVRC2012_test_00001296.JPEG
23,299,./seeds50/ILSVRC2012_test_00001173.JPEG
24,669,./seeds50/ILSVRC2012_test_00011027.JPEG
25,18,./seeds50/ILSVRC2012_test_00000002.JPEG
26,769,./seeds50/ILSVRC2012_test_00000227.JPEG
27,203,./seeds50/ILSVRC2012_test_00001905.JPEG
28,317,./seeds50/ILSVRC2012_test_00089967.JPEG
29,78,./seeds50/ILSVRC2012_test_00000009.JPEG
30,792,./seeds50/ILSVRC2012_test_00000010.JPEG
31,573,./seeds50/ILSVRC2012_test_00001117.JPEG
32,194,./seeds50/ILSVRC2012_test_00000003.JPEG
33,282,./seeds50/ILSVRC2012_test_00089968.JPEG
34,680,./seeds50/ILSVRC2012_test_00011026.JPEG
35,619,./seeds50/ILSVRC2012_test_00000380.JPEG
36,5,./seeds50/ILSVRC2012_test_00000006.JPEG
37,154,./seeds50/ILSVRC2012_test_00011021.JPEG
38,870,./seeds50/ILSVRC2012_test_00000008.JPEG
39,23,./seeds50/ILSVRC2012_test_00011022.JPEG
40,91,./seeds50/ILSVRC2012_test_00000012.JPEG
41,144,./seeds50/ILSVRC2012_test_00089966.JPEG
42,588,./seeds50/ILSVRC2012_test_00099999.JPEG
43,619,./seeds50/ILSVRC2012_test_00089969.JPEG
44,5,./seeds50/ILSVRC2012_test_00099998.JPEG
45,894,./seeds50/ILSVRC2012_test_00000005.JPEG
46,534,./seeds50/ILSVRC2012_test_00089961.JPEG
47,373,./seeds50/ILSVRC2012_test_00011025.JPEG
48,921,./seeds50/ILSVRC2012_test_00000505.JPEG
49,861,./seeds50/ILSVRC2012_test_00011023.JPEG
